owner_code	date	held_shares	change
glenmede-trust-co-na-27215	2017-12-31	34301	-1326
capital-advisors-incok-66638	2017-12-31	34278	34278
randolph-co-inc-819944	2017-12-31	33380	33380
rathbone-brothers-plc-698532	2018-03-31	33234	-1346
ubs-oconnor-llc-84020	2017-12-31	33035	-44637
advisory-research-inc-14228	2017-12-31	31901	-753
sensato-investors-llc-957638	2017-12-31	31700	31700
glaxis-capital-management-llc-874215	2017-12-31	31355	31355
ttp-investments-inc-1045134	2017-12-31	31231	31231
gamble-jones-investment-counsel-63151	2017-12-31	31108	-3731
guild-investment-management-inc-664583	2017-12-31	30240	-2640
telemus-capital-llc-919867	2017-12-31	30066	6047
lyell-wealth-management-lp-1015456	2017-12-31	29935	-1900
private-asset-management-inc-61504	2018-03-31	29917	-502
andra-ap-fonden-873982	2018-03-31	29700	-407900
clearbridge-llc-84520	2017-12-31	29529	490
qvt-financial-lp-635267	2017-12-31	29500	29500
richard-bernstein-advisors-llc-873543	2017-12-31	29460	0
oppenheimer-asset-management-inc-620565	2017-12-31	29032	0
marathon-trading-investment-management-llc-957546	2017-12-31	28905	-21884
cutter--co-brokerage-inc-769854	2017-12-31	28560	-1154
jefferies-group-llc-61579	2017-12-31	28276	22241
dsc-advisors-lp-645435	2017-12-31	28000	28000
bosvalen-asset-management-ltd-1045625	2017-12-31	27632	27632
bank-pictet--cie-asia-ltd-927112	2017-12-31	27540	-1030
sitrin-capital-management-llc-985007	2017-12-31	27471	27471
epoch-investment-partners-inc-652677	2017-12-31	27299	0
global-thematic-partners-llc-847461	2017-12-31	27231	-10997
broadleaf-partners-llc-1042486	2017-12-31	27179	27179
grandeur-peak-global-advisors-llc-899891	2017-12-31	27150	27150
capital-international-ltd-ca-63053	2017-12-31	26960	-117960
acg-wealth-899538	2018-03-31	26758	659
pictet--cie-europe-sa-80647	2017-12-31	26729	2822
columbia-partners-l-l-c-investment-management-62945	2017-12-31	26466	-3176
oribel-capital-management-lp-1015445	2017-12-31	26000	-20283
lockheed-martin-investment-management-co-13825	2017-12-31	25878	3565
bellecapital-international-ltd-927462	2017-12-31	25872	3204
cutler-group-lp-996232	2017-12-31	25742	-7040
national-asset-management-inc-817513	2017-12-31	25732	25732
salem-investment-counselors-inc-40357	2017-12-31	25693	2075
train-babcock-advisors-llc-14238	2017-12-31	25447	-2675
wexford-capital-lp-44525	2017-12-31	24798	13990
da-davidson--co-66662	2017-12-31	24787	3350
regent-investment-management-llc-891127	2017-12-31	24740	13565
cigna-investments-inc-new-62965	2017-12-31	24599	-3496
kings-point-capital-management-734996	2017-12-31	24199	792
ntv-asset-management-llc-663648	2017-12-31	23885	-665
congress-park-capital-llc-1045369	2017-12-31	23543	23543
osborne-partners-capital-management-llc-63406	2017-12-31	23492	-19812
schonfeld-strategic-advisors-llc-994712	2017-12-31	23468	9143
morgens-waterfall-vintiadis--co-inc-30165	2017-12-31	22963	1963
pacad-investment-ltd-937646	2017-12-31	22944	22944
sheaff-brock-investment-advisors-llc-987253	2017-12-31	22733	1954
morse-asset-management-inc-1022141	2017-12-31	22703	2015
tiger-management-llc-28592	2017-12-31	22700	-166900
brinker-capital-inc-840970	2017-12-31	22685	-3035
united-american-securities-inc-dba-uas-asset-management-698568	2017-12-31	22396	-38239
north-star-asset-management-inc-68744	2017-12-31	22393	284
fagan-associates-inc-934857	2017-12-31	22300	2340
gardner-lewis-asset-management-l-p-63223	2017-12-31	22115	3519
virtu-financial-llc-867840	2017-12-31	21800	3627
sanctuary-wealth-advisors-llc-922832	2017-12-31	21435	-300
pittenger--anderson-inc-63112	2017-12-31	21415	100
hartline-investment-corp-63563	2017-12-31	21382	2384
riverpoint-capital-management-llc-897838	2017-12-31	21146	7651
cetera-advisors-llc-872626	2017-12-31	21057	11488
glovista-investments-llc-878775	2017-12-31	20951	-38100
allen-investment-management-llc-673783	2017-12-31	20837	-190
wellington-shields-capital-management-llc-842644	2017-12-31	20775	-480
pitcairn-co-62067	2017-12-31	20675	2042
advisors-asset-management-inc-643128	2017-12-31	20645	5423
ashfield-capital-partners-llc-743848	2017-12-31	20369	2201
wolverine-trading-llc-108092	2017-12-31	20345	-228837
bailard-inc-63751	2017-12-31	20142	20142
bokf-na-227239	2017-12-31	19635	2532
fdx-advisors-inc-898289	2017-12-31	19562	-1651
geneva-partners-llc-1029404	2017-12-31	19465	-5955
gabelli-funds-llc-155615	2017-12-31	19100	5100
granite-investment-advisors-llc-805230	2017-12-31	19049	10049
adalta-capital-management-llc-1023395	2017-12-31	19000	-1500
cabot-wealth-management-inc-62714	2017-12-31	18909	-164
scott--selber-inc-663167	2017-12-31	18898	135
prime-capital-investment-advisors-llc-1045709	2017-12-31	18627	18627
welch-capital-partners-llcny-64362	2017-12-31	18597	-11386
ctc-llc-789445	2017-12-31	17985	-13686
jw-asset-management-llc-956778	2017-12-31	17750	-7250
aviance-capital-partners-llc-874682	2017-12-31	17563	1540
folger-hill-asset-management-lp-987014	2017-12-31	17500	-69574
elite-wealth-management-inc-1006010	2017-12-31	17411	11721
lincoln-national-corp-10422	2017-12-31	17006	8911
bank-hapoalim-bm-26888	2017-12-31	16892	-4386
keybank-national-associationoh-65055	2017-12-31	16801	5109
tiverton-asset-management-llc-899671	2017-12-31	16702	-1898
wetherby-asset-management-inc-620848	2017-12-31	16681	93
synovus-financial-corp-9498	2017-12-31	16349	873
essex-financial-services-inc-664068	2017-12-31	16205	-532
sompo-japan-nipponkoa-asset-management-coltd-1037340	2017-12-31	16080	580
terra-nova-asset-management-llc-980696	2017-12-31	15825	4689
alta-advisers-ltd-874192	2017-09-30	15699	-38171
orca-investment-management-llc-846710	2017-12-31	15666	-70
carret-asset-management-llc-80990	2017-12-31	15629	3165
conservest-capital-advisors-inc-1022582	2018-03-31	15617	405
tudor-investment-corp-et-al-28694	2017-12-31	15388	-33732
etrade-capital-management-llc-847789	2017-12-31	15270	3446
strategic-wealth-advisors-group-llc-945655	2017-12-31	15163	15163
ipg-investment-advisors-llc-931553	2017-12-31	15035	8710
ally-financial-inc-12134	2017-12-31	15000	15000
private-advisor-group-llc-927300	2017-12-31	14864	-6740
hoertkorn-richard-charles-926979	2017-12-31	14855	5195
leuthold-group-llc-107277	2017-12-31	14814	1865
bbt-investment-services-inc-102908	2017-12-31	14661	3066
baker-avenue-asset-management-lp-821610	2017-12-31	14631	433
brown-advisory-securities-llc-735046	2017-12-31	14470	926
graticule-asia-macro-advisors-llc-958191	2017-12-31	14400	14400
sequoia-financial-advisors-llc-927096	2017-12-31	14291	12423
regions-financial-corp-624777	2017-12-31	14288	1177
sii-investments-incwi-698059	2017-12-31	14193	-7757
parallax-volatility-advisers-lp-855724	2017-12-31	14091	14091
cubist-systematic-strategies-llc-942304	2017-12-31	14016	-12818
truenorth-inc-797825	2017-12-31	13903	1038
condor-capital-management-62569	2017-12-31	13854	-387
bks-advisors-llc-965407	2017-12-31	13821	-582
davidson--garrard-inc-62351	2017-09-30	13789	615
james-hambro--partners-1045395	2017-12-31	13679	13679
kovack-advisors-inc-1044227	2017-12-31	13527	13527
shelton-capital-management-76130	2017-12-31	13389	4178
integre-asset-management-llc-698502	2017-12-31	13359	0
kingdon-capital-management-llc-25201	2017-12-31	13236	-86694
welch--forbes-llc-39098	2017-12-31	13200	340
covington-capital-management-672271	2017-12-31	13139	7019
insight-capital-research--management-inc-62550	2017-09-30	13022	-3361
trailhead-pacific-llc-1044060	2017-12-31	13000	13000
atria-investments-llc-876915	2017-12-31	12830	4670
tlwm-1047128	2017-12-31	12824	12824
birinyi-associates-inc-63225	2017-12-31	12700	1500
hoylecohen-llc-1045852	2017-12-31	12645	12645
trellus-management-company-llc-654642	2017-12-31	12500	0
griffin-asset-management-inc-61724	2017-12-31	12470	0
old-mutual-customised-solutions-proprietary-ltd-804386	2017-12-31	12419	-700
gratry--co-llc-63440	2017-12-31	12381	3794
raymond-james-trust-na-68942	2018-03-31	12378	285
qs-investors-llc-840483	2017-12-31	12300	-100
outfitter-advisors-ltd-741079	2017-12-31	12170	9120
lucia-wealth-services-llc-1045373	2017-12-31	12163	12163
hutchens-investment-management-inc-62651	2017-09-30	12093	-3800
stratos-wealth-partners-ltd-939610	2017-12-31	12089	2812
wafra-investment-advisory-group-inc-ny-61897	2017-12-31	12056	0
prudence-asset-management-ltd-898922	2017-12-31	12000	-6000
dubuque-bank--trust-co-58836	2017-12-31	11956	400
first-manhattan-co-35915	2017-12-31	11883	1913
compton-capital-management-inc-ri-65009	2017-12-31	11880	365
mark-sheptoff-financial-planning-llc-934409	2017-12-31	11853	725
proshare-advisors-llc-703786	2017-12-31	11727	11727
alexandria-capital-llc-904317	2017-12-31	11597	11597
northeast-investment-management-63262	2017-12-31	11555	11555
fic-capital-inc-847483	2017-09-30	11420	880
bluestein-r-h--co-63631	2017-12-31	11300	-1900
sustainable-growth-advisers-lp-663627	2017-12-31	11248	11248
sumitomo-life-insurance-co-65696	2017-12-31	11200	600
dymon-asia-capital-ltd-992558	2017-09-30	11100	11100
nelson-van-denburg--campbell-wealth-management-group-llc-927512	2017-12-31	11097	10295
mogy-joel-r-investment-counsel-inc-80431	2017-12-31	11095	3710
segall-bryant--hamill-llc-27441	2017-12-31	11038	3731
anderson-hoagland--co-62327	2017-12-31	10995	0
johanson-financial-advisors-inc-986081	2017-12-31	10944	4402
ibex-wealth-advisors-1007764	2017-12-31	10822	10822
american-national-registered-investment-advisor-inc-854964	2017-12-31	10595	0
level-four-advisory-services-llc-1015633	2017-12-31	10521	908
marble-harbor-investment-counsel-llc-732990	2017-12-31	10460	0
ayalon-holdings-ltd-967147	2017-12-31	10399	9279
fifth-third-bancorp-7793	2017-12-31	10376	1621
markston-international-llc-65521	2017-12-31	10256	-126
moody-national-bank-trust-division-69195	2017-12-31	10252	0
x-square-capital-llc-1045297	2017-12-31	10154	10154
jafra-capital-management-lp-1015518	2017-12-31	10141	-38626
ruffer-llp-770417	2017-12-31	10020	-12103
kamunting-street-capital-management-lp-664379	2017-12-31	10000	10000
tredje-ap-fonden-973171	2017-12-31	10000	-35000
cetera-advisor-networks-llc-872744	2017-12-31	9999	-145
parkside-investments-llc-1022749	2017-12-31	9990	9990
montag-a--associates-inc-63005	2017-12-31	9946	152
price-wealth-management-inc-867751	2017-12-31	9924	9924
ft-options-llc-986193	2017-09-30	9900	0
nicholas-investment-partners-lp-735252	2017-12-31	9867	-4112
burleson--company-llc-1048564	2017-12-31	9818	9818
altfest-l-j--co-inc-194150	2017-12-31	9764	-64
bell--brown-wealth-advisors-llc-1045393	2017-12-31	9694	9694
parallel-advisors-llc-1015503	2017-12-31	9642	-311
financial-counselors-inc-69252	2017-12-31	9637	10
boston-advisors-llc-62826	2017-12-31	9631	2418
focused-wealth-management-inc-919426	2017-12-31	9523	-1610
intellectus-partners-llc-1015612	2017-12-31	9520	1154
partner-investment-management-lp-785592	2017-12-31	9328	855
cwm-llc-920369	2017-12-31	9320	-2512
bradley-foster--sargent-incct-63896	2017-12-31	9179	-155
hcr-wealth-advisors-1015692	2017-12-31	9144	7219
parametrica-management-ltd-868856	2017-12-31	9105	-47222
cetera-investment-advisers-987074	2017-12-31	9102	5043
first-interstate-bank-80884	2017-12-31	9041	-1135
kazazian-asset-management-llc-909936	2017-12-31	9031	328
lee-capital-management-lp-1015421	2017-12-31	9000	1000
advisory-services-network-llc-903936	2017-12-31	8943	3652
simmons-bank-994556	2017-12-31	8890	-510
strategic-global-advisors-llc-957120	2017-12-31	8870	0
peoples-united-financial-inc-725280	2017-12-31	8755	8755
hwg-holdings-lp-927378	2017-12-31	8753	-14192
flossbach-von-storch-ag-937713	2017-12-31	8750	8750
rpg-investment-advisory-llc-987251	2017-12-31	8746	-23729
burns-j-w--co-incny-65129	2018-03-31	8553	576
first-heartland-consultants-inc-772713	2017-12-31	8543	-2607
pekin-singer-strauss-asset-management-il-62649	2017-12-31	8535	2700
fernwood-investment-management-llc-926581	2017-12-31	8531	188
old-national-bancorp-in-12029	2017-12-31	8447	-1295
1st-global-advisors-inc-733171	2017-06-30	8435	-328
sigma-planning-corp-818033	2017-12-31	8261	1082
commonwealth-bank-of-australia-79518	2017-12-31	7914	2578
bayesian-capital-management-lp-987169	2017-12-31	7900	200
roberts-glore--co-inc-il-62648	2017-12-31	7775	-750
sandy-spring-bank-799210	2017-12-31	7775	962
newman-dignan--sheerar-inc-900037	2017-12-31	7755	1384
pinnacle-associates-ltd-67683	2017-12-31	7688	-52
independent-advisor-alliance-1015794	2017-12-31	7603	1611
sit-investment-associates-inc-62832	2017-12-31	7510	0
nwam-llc-977253	2017-12-31	7499	-473
sterling-capital-management-llc-682817	2017-12-31	7489	-92
first-midwest-bank-trust-division-62542	2017-12-31	7450	-7340
drw-securities-llc-821322	2017-12-31	7442	7442
aviance-capital-management-llc-757153	2017-12-31	7438	977
wedbush-securities-inc-87395	2017-12-31	7400	3559
seven-bridges-advisors-llc-985860	2017-12-31	7386	-1241
field--main-bank-927363	2017-12-31	7275	-330
moody-lynn--lieberson-llc-63258	2017-12-31	7209	-21476
hilltop-holdings-inc-600798	2017-12-31	7175	3461
usca-ria-llc-874701	2017-12-31	7130	5679
integral-derivatives-llc-927086	2017-12-31	7087	7087
capital-management-associates-ny-62051	2017-12-31	7050	-50
chelsea-counsel-co-624172	2017-12-31	6960	0
caprock-group-inc-956974	2017-12-31	6949	3051
wespac-advisors-socal-llc-988490	2017-12-31	6929	4550
m-holdings-securities-inc-899880	2017-12-31	6901	-292
exane-derivatives-949215	2017-12-31	6679	1564
tradition-capital-management-llc-101945	2017-12-31	6647	-78
financial-partners-capital-management-llc-65052	2017-12-31	6623	66
navellier--associates-inc-63066	2017-12-31	6561	2401
mawer-investment-management-ltd-870923	2017-12-31	6500	1000
loring-wolcott--coolidge-fiduciary-advisors-llpma-63172	2017-12-31	6445	4395
cornerstone-wealth-management-llc-994632	2017-12-31	6394	-367
migdal-insurance--financial-holdings-ltd-775196	2017-12-31	6342	130
ausdal-financial-partners-inc-987252	2017-12-31	6299	1034
checchi-capital-advisers-llc-925665	2017-12-31	6285	-6137
first-mercantile-trust-co-425477	2017-12-31	6281	-654
harbour-capital-advisors-llc-1002267	2017-12-31	6277	1345
benchmark-capital-advisors-699325	2017-12-31	6170	200
rothschild-investment-corp-il-63111	2017-12-31	6166	100
avalon-advisors-llc-400043	2017-12-31	6142	380
overbrook-management-corp-605858	2017-12-31	6126	0
bronfman-el-rothschild-lp-986584	2017-12-31	6074	1651
calton--associates-inc-132413	2017-12-31	6054	6054
circle-wealth-management-llc-1023099	2017-12-31	5936	2821
highland-capital-management-llc-62148	2017-12-31	5930	5930
janney-capital-management-llc-899981	2017-12-31	5905	-752
icon-advisers-incco-68015	2017-12-31	5900	3500
gm-advisory-group-inc-926322	2017-12-31	5892	-395
l--s-advisors-inc-737357	2017-12-31	5882	-9356
eqis-capital-management-inc-897520	2018-03-31	5802	265
arga-investment-management-lp-900143	2017-12-31	5800	0
moors--cabot-inc-934378	2017-12-31	5784	2198
northeast-financial-consultants-inc-927277	2017-12-31	5771	3016
american-financial-network-advisory-services-llc-1034663	2017-12-31	5706	4793
greenleaf-trust-98783	2017-12-31	5675	-16
highpoint-advisor-group-llc-958673	2017-12-31	5661	1155
private-trust-co-na-620357	2018-03-31	5646	1899
south-state-corp-4024	2017-12-31	5612	5612
osborn-williams--donohoe-llc-913664	2017-12-31	5520	280
first-trust-bank-ltd-751564	2017-12-31	5500	0
palisade-capital-management-llcnj-80069	2017-12-31	5450	-245
ruggie-capital-group-957218	2018-03-31	5435	1435
westside-investment-management-inc-1022904	2017-12-31	5427	34
lenox-wealth-management-inc-805071	2017-12-31	5407	652
first-united-bank-trust-391883	2017-12-31	5342	5342
bainco-international-investors-63073	2018-03-31	5303	0
iht-wealth-management-llc-1015566	2017-12-31	5249	1727
graham-capital-management-lp-699018	2017-12-31	5238	5238
cpwm-llc-1015473	2017-12-31	5226	138
granite-point-capital-management-lp-927345	2017-12-31	5200	-900
next-financial-group-inc-942323	2017-12-31	5177	-4356
aft-forsyth--company-inc-847804	2017-12-31	5150	5150
breton-hill-capital-ltd-899767	2017-09-30	5139	-1841
sg-americas-securities-llc-663181	2017-12-31	5045	-1412974
benjamin-f-edwards--company-inc-823236	2017-12-31	5044	584
legacy-capital-partners-inc-797580	2017-12-31	5012	857
db-root--company-llc-1046467	2017-12-31	5000	5000
beech-hill-advisors-inc-707664	2017-12-31	4989	-400
reliance-trust-co-of-delaware-913619	2017-12-31	4970	-1425
vantage-financial-partners-ltd-inc-1015541	2017-12-31	4900	4900
putnam-fl-investment-management-co-86322	2017-12-31	4870	4870
seacrest-wealth-management-llc-1044412	2017-12-31	4847	4847
family-legacy-inc-1022569	2017-12-31	4812	3341
institute-for-wealth-management-llc-874713	2017-12-31	4789	4789
boardman-bay-capital-management-llc-958842	2017-12-31	4771	-15229
canal-capital-management-llc-987602	2017-12-31	4668	816
hbk-sorce-advisory-llc-734464	2017-12-31	4649	510
voya-financial-advisors-inc-767882	2017-12-31	4612	844
johnson-investment-counsel-inc-62117	2017-12-31	4607	777
resource-management-llc-1047530	2017-12-31	4592	4592
jones-collombin-investment-counsel-inc-828720	2018-03-31	4588	4588
nvwm-llc-1048369	2017-12-31	4585	4585
ahrens-investment-partners-llc-1030568	2017-12-31	4517	1767
miller-value-partners-llc-84490	2017-12-31	4500	0
narwhal-capital-management-804633	2017-12-31	4500	-100
commerce-bank-62841	2017-12-31	4491	488
financial-advocates-investment-management-1045854	2017-12-31	4480	4480
silvercrest-asset-management-group-llc-406770	2017-12-31	4472	1346
burney-co-63569	2017-12-31	4431	1005
rockland-trust-co-71299	2018-03-31	4418	4418
hms-capital-management-llc-1007937	2017-12-31	4325	-814
yhb-investment-advisors-inc-809793	2017-12-31	4280	55
advantage-investment-management-llc-1015981	2017-12-31	4226	-33
strategic-advisors-llc-899754	2017-12-31	4220	684
ifc-holdings-incorporatedfl-832016	2017-12-31	4213	1686
beaton-management-co-inc-1030848	2017-12-31	4205	5
first-capital-advisors-group-llc-1015275	2018-03-31	4199	343
alpha-cubed-investments-llc-929168	2017-12-31	4163	-38
sawtooth-solutions-llc-822921	2017-12-31	4144	18
icon-wealth-partners-llc-1045396	2017-12-31	4142	4142
cullenfrost-bankers-inc-9873	2017-12-31	4131	874
colony-group-llc-64431	2017-12-31	4101	605
cavalier-investments-llc-979636	2017-12-31	4100	425
harel-insurance-investments--financial-services-ltd-777501	2017-12-31	4086	290
williams-jones--associates-llc-68817	2017-12-31	4082	1114
fairfield-bush--co-77901	2017-12-31	4065	2200
flagship-harbor-advisors-llc-1023291	2017-12-31	4052	854
cobblestone-capital-advisors-llc-ny-62916	2017-12-31	4040	395
lejeune-puetz-investment-counsel-llc-1015767	2017-12-31	4006	-600
allsquare-wealth-management-llc-957387	2017-12-31	4000	100
gruss--co-inc-73309	2017-12-31	4000	0
sovarnum-capital-lp-1045263	2017-12-31	4000	4000
symmetry-peak-management-llc-734417	2017-12-31	4000	-1000
kistler-tiffany-companies-llc-874176	2018-03-31	3945	-25
woodstock-corp-63662	2017-12-31	3936	0
castle-rock-wealth-management-llc-1044948	2017-12-31	3883	3883
franklin-street-advisors-inc-nc-63421	2018-03-31	3867	100
true-private-wealth-advisors-989510	2017-12-31	3845	3845
neuburgh-advisers-llc-1015579	2017-12-31	3808	-816
herald-investment-management-ltd-847783	2017-12-31	3800	0
gateway-advisory-llc-847577	2017-12-31	3775	175
cornerstone-advisory-llp-988549	2017-12-31	3745	3745
green-square-capital-llc-97733	2017-12-31	3693	35
eagle-capital-management-llc-66664	2017-12-31	3650	0
svenska-handelsbanken-ab-publ-987010	2017-12-31	3600	0
thompson-siegel--walmsley-llc-47701	2017-12-31	3600	250
highstreet-asset-management-inc-826300	2017-12-31	3570	1842
rational-advisors-llc-159250	2017-12-31	3568	-2365
gradient-investments-llc-874503	2018-03-31	3513	462
cadinha--co-llc-62739	2017-12-31	3502	3502
btc-capital-management-inc-950715	2017-12-31	3441	-839
verition-fund-management-llc-797572	2017-12-31	3384	-1403
zions-bancorporation-965247	2017-12-31	3366	-516
schnieders-capital-management-llc-930977	2017-12-31	3350	75
arcus-capital-partners-llc-986526	2017-12-31	3326	302
barrett-asset-management-llc-861331	2017-12-31	3315	-20
global-financial-private-capital-llc-1022909	2017-12-31	3284	1046
banco-btg-pactual-sa-994527	2017-12-31	3281	-997
fiduciary-trust-co-63207	2017-12-31	3256	3256
groesbeck-investment-management-corp-nj-62667	2017-12-31	3205	1905
cullinan-associates-inc-114468	2017-12-31	3200	0
tiedemann-wealth-management-llc-821070	2017-12-31	3185	50
steinberg-global-asset-management-633191	2017-12-31	3175	-15
comerica-securities-inc-754300	2017-12-31	3147	828
flinton-capital-management-llc-1015471	2017-12-31	3136	-672
css-llcil-71143	2017-12-31	3121	-13100
efg-asset-management-americas-corp-926993	2017-12-31	3095	752
pictet-bank--trust-ltd-927280	2017-12-31	3094	1370
summit-trail-advisors-llc-1045723	2017-12-31	3090	3090
laurel-wealth-advisors-inc-989181	2017-12-31	3075	895
cypress-asset-management-inctx-67792	2017-12-31	3065	1190
kimelman--baird-llc-665076	2017-12-31	3065	65
laurion-capital-management-lp-735493	2017-12-31	3041	3041
tower-research-capital-llc-trc-900020	2017-12-31	3026	-4059
two-sigma-securities-llc-823788	2017-12-31	3000	-1125
gwm-advisors-llc-957889	2017-12-31	2991	555
raab--moskowitz-asset-management-llc-942299	2017-12-31	2981	0
bristlecone-advisors-llc-993871	2017-12-31	2980	2980
jaffetilchin-investment-partners-llc-752454	2017-12-31	2978	-1153
signaturefd-llc-798017	2017-12-31	2975	370
venturi-wealth-management-llc-986800	2017-12-31	2946	92
blue-fin-capital-inc-926737	2017-12-31	2938	696
good-life-advisors-llc-1015331	2017-12-31	2908	971
partnervest-advisory-services-llc-872677	2017-12-31	2900	200
worth-venture-partners-llc-1015710	2017-12-31	2870	700
private-capital-advisors-inc-734498	2017-12-31	2840	1325
cfo4life-group-llc-1022861	2017-12-31	2806	509
sevenbridge-financial-group-llc-997677	2017-12-31	2805	-95
analyst-ims-investment-management-services-ltd-958591	2017-12-31	2800	2800
intercontinental-wealth-advisors-llc-1030199	2017-12-31	2778	0
180-wealth-advisors-llc-1045467	2017-12-31	2770	2770
nuwave-investment-management-llc-899955	2017-12-31	2716	2716
fieldpoint-private-securities-llc-1023192	2017-12-31	2702	502
private-capital-management-inc-84522	2017-09-30	2700	0
signalpoint-asset-management-llc-896799	2017-12-31	2700	-2298
regal-investment-advisors-llc-905869	2017-12-31	2686	990
kingfisher-capital-llc-821467	2017-12-31	2681	2681
pinnacle-financial-partners-inc-76521	2017-12-31	2621	-161
wilbanks-smith--thomas-asset-management-llc-63191	2017-12-31	2618	-383
bfsg-llc-1023341	2017-12-31	2610	191
somerset-group-llc-900042	2017-12-31	2593	2593
truewealth-llc-1045526	2017-12-31	2582	2582
baldwin-brothers-incma-62414	2017-12-31	2575	-250
hpm-partners-llc-1015423	2017-12-31	2565	-5
granahan-investment-management-incma-62824	2017-12-31	2532	-2238
usadvisors-wealth-management-llc-1049402	2017-12-31	2514	2514
cottage-street-advisors-llc-986321	2017-12-31	2500	-300
parnassus-investments-ca-63063	2017-12-31	2500	0
financial-architects-inc-770380	2017-12-31	2493	591
claraphi-advisory-network-llc-1044454	2017-12-31	2486	2486
ae-wealth-management-llc-1015513	2017-12-31	2467	301
formulafolio-investments-llc-968143	2017-12-31	2467	2467
tyers-asset-management-llc-1015504	2017-12-31	2464	-528
mariner-wealth-advisors-llc-718911	2017-12-31	2403	212
buckingham-asset-management-llc-874773	2017-12-31	2402	825
motley-fool-asset-management-llc-847773	2017-12-31	2400	0
shepherd-financial-partners-llc-1015707	2017-12-31	2400	1027
king-wealth-management-group-llc-898944	2017-12-31	2387	2387
merriman-wealth-management-llc-904360	2018-03-31	2378	-31
peregrine-asset-advisers-inc-871740	2017-12-31	2375	75
first-bank--trust-1013037	2017-12-31	2302	550
insight-2811-inc-682076	2017-12-31	2300	-100
polaris-greystone-financial-group-llc-911971	2018-03-31	2297	820
horan-capital-management-617137	2018-03-31	2282	-557
cwa-asset-management-group-llc-987193	2017-12-31	2280	2280
new-england-research--management-inc-923896	2017-12-31	2277	2277
lido-advisors-llc-972501	2017-12-31	2275	505
van-hulzen-asset-management-llc-927406	2017-12-31	2275	-1425
night-owl-capital-management-llc-766664	2017-12-31	2226	0
capstone-financial-advisors-inc-926927	2017-12-31	2213	2213
vicus-capital-902692	2017-12-31	2205	313
newfocus-financial-group-llc-927258	2017-12-31	2195	2195
homrich--berg-840391	2017-12-31	2187	106
oak-asset-management-llc-1045368	2017-12-31	2172	2172
chicago-partners-investment-group-llc-965778	2017-12-31	2160	-72
savant-capital-llc-828511	2017-12-31	2137	386
dedora-capital-inc-1045093	2017-12-31	2136	2136
ruane-cunniff--goldfarb-inc-42197	2017-12-31	2134	-1201
centaurus-financial-inc-114824	2017-12-31	2119	2119
meridian-wealth-management-llc-1015381	2017-12-31	2111	579
thompson-davis--co-inc-103278	2017-12-31	2110	252
keystone-financial-group-1045062	2017-12-31	2101	2101
joel-isaacson--co-llc-927070	2017-12-31	2100	2100
wall-street-access-asset-management-llc-846994	2017-12-31	2092	92
arthur-m-cohen--associates-llc-1013292	2017-12-31	2075	2075
wfg-advisors-lp-866839	2017-06-30	2056	876
dumac-inc-1015356	2017-12-31	2051	0
united-asset-strategies-inc-899090	2017-12-31	2026	2026
belpointe-asset-management-llc-1037717	2017-12-31	2023	-35
dixon-hubard-feinour--brown-incva-62213	2017-12-31	2023	-300
calamos-wealth-management-llc-797724	2017-12-31	2000	200
eg-advisors-lp-926345	2017-12-31	2000	700
first-business-financial-services-inc-861059	2017-12-31	2000	0
bellwether-investment-group-llc-1001771	2017-12-31	1999	1999
gofen--glossberg-llc-il-37363	2018-03-31	1990	-100
capital-bank--trust-co-1030555	2017-12-31	1989	152
abbrea-capital-llc-1015083	2017-12-31	1950	185
ubp-investment-advisors-sa-1043809	2017-12-31	1927	1927
whittier-trust-co-596178	2017-12-31	1918	662
edge-advisors-llc-1036092	2017-12-31	1915	221
capital-one-national-association-9195	2017-12-31	1908	-1639
mufg-securities-emea-plc-926399	2017-12-31	1902	1902
weatherly-asset-management-l-p-198333	2017-12-31	1892	125
coldstream-capital-management-inc-62999	2017-12-31	1882	-935
kcm-investment-advisors-llc-75434	2017-12-31	1882	544
krilogy-financial-llc-980400	2017-12-31	1881	401
private-wealth-advisors-inc-805622	2017-12-31	1863	0
moloney-securities-asset-management-llc-1015613	2017-12-31	1856	248
cornerstone-advisors-inc-865854	2017-12-31	1854	-405
armor-investment-advisors-llc-1014958	2017-12-31	1850	1850
wade-g-w--inc-83322	2017-12-31	1848	200
frontier-wealth-management-llc-960321	2017-12-31	1839	207
amarillo-national-bank-61254	2017-12-31	1830	0
brighton-jones-llc-857578	2017-12-31	1826	188
diligent-investors-llc-957894	2017-12-31	1820	10
doyle-wealth-management-1020848	2017-12-31	1817	1817
family-management-corp-874650	2017-12-31	1817	502
valmark-advisers-inc-735379	2017-12-31	1809	1809
nicolet-bankshares-inc-112063	2017-12-31	1799	0
adviser-investments-llc-1015322	2017-12-31	1792	144
glen-harbor-capital-management-llc-1015561	2017-12-31	1792	-384
north-star-investment-management-corp-689340	2017-12-31	1785	50
hartland--co-llc-199284	2017-12-31	1780	-92
resources-investment-advisors-inc-1030550	2017-12-31	1776	77
wimmer-associates-1-llc-987133	2017-12-31	1765	365
invictus-rg-986991	2017-12-31	1755	-495
traynor-capital-management-inc-987027	2017-12-31	1731	1731
peapack-gladstone-financial-corp-3023	2017-12-31	1724	1724
optimum-investment-advisors-85946	2017-12-31	1690	150
ghp-investment-advisors-inc-753466	2017-12-31	1675	-625
