owner_code	date	held_shares	change
bamco-inc-ny-32577	2017-12-31	1566453	-161492
barings-llc-19167	2017-12-31	1535928	1514648
grantham-mayo-van-otterloo--co-llc-698786	2017-12-31	1521904	-114788
trilogy-global-advisors-lp-99786	2017-12-31	1499514	7145
greenwoods-asset-management-ltd-906820	2017-12-31	1481300	859700
handelsbanken-fonder-ab-743297	2017-12-31	1427180	31000
harding-loevner-lp-65960	2017-12-31	1421001	741259
teachers-advisors-llc-62788	2017-12-31	1347335	70913
hardman-johnston-global-advisors-llc-63868	2017-12-31	1335194	-20200
alkeon-capital-management-llc-406492	2017-12-31	1312612	-232788
manufacturers-life-insurance-company-the-36639	2017-12-31	1294483	741241
bank-of-montreal-can-48922	2017-12-31	1292199	167798
nomura-asset-management-co-ltd-62364	2017-12-31	1265199	319128
bnp-paribas-asset-management-holding-sa-855543	2017-12-31	1256888	97369
korea-investment-corp-784895	2017-12-31	1221239	9700
ci-investments-inc-97939	2017-12-31	1201462	-628363
united-services-automobile-association-63042	2017-12-31	1184655	-106339
marsico-capital-management-llc-72913	2017-12-31	1171255	-6937
prudential-financial-inc-85324	2017-12-31	1142192	-252358
prudential-plc-63028	2017-12-31	1141830	-97070
moore-capital-management-lp-792208	2017-12-31	1135000	-352736
kylin-management-llc-848101	2017-12-31	1131700	-354300
newport-asia-llc-934460	2017-12-31	1110400	-33400
acadian-asset-management-llc-66432	2017-12-31	1080871	-699434
teacher-retirement-system-of-texas-66768	2017-12-31	1051251	59615
numeric-investors-llc-711439	2017-12-31	1020600	-237600
td-asset-management-inc-48888	2017-12-31	1020491	47323
suvretta-capital-management-llc-927428	2017-12-31	989740	-839200
capital-guardian-trust-co-53351	2017-12-31	972351	-35284
ug-investment-advisers-ltd-1015363	2017-12-31	963336	0
harvest-fund-management-co-ltd-1015343	2017-12-31	944550	-133374
melvin-capital-management-lp-957926	2017-12-31	928714	-698345
whale-rock-capital-management-llc-732563	2017-12-31	922429	128887
bessemer-group-inc-47847	2017-12-31	922033	-13343
raymond-james--associates-63001	2017-12-31	921455	104705
