owner_code	date	held_shares	change
harris-associates-l-p-13732	2017-12-31	3684788	-17865
axa-45522	2017-12-31	3663447	66656
atlantic-trust-group-llc-646527	2017-12-31	3569419	-72115
public-employees-retirement-association-of-colorado-39619	2017-12-31	3560853	248431
bessemer-group-inc-47847	2017-12-31	3555228	-261876
wellcome-trust-ltd-the-as-trustee-of-the-wellcome-trust-33968	2017-12-31	3500000	0
retirement-systems-of-alabama-957301	2017-12-31	3437553	-17776
proshare-advisors-llc-703786	2017-12-31	3437343	960152
citigroup-inc-12025	2017-12-31	3432580	103193
first-manhattan-co-35915	2017-12-31	3426953	26437
aviva-plc-89351	2017-12-31	3304902	-455014
aperio-group-llc-717326	2017-12-31	3244522	147331
winslow-capital-management-llc-64122	2017-12-31	3167187	-771156
thrivent-financial-for-lutherans-71552	2017-12-31	3151814	-48069
toronto-dominion-bank-10177	2017-12-31	3114246	146331
prudential-plc-63028	2017-12-31	3075074	11058
aberdeen-asset-management-plcuk-63375	2017-06-30	2877200	40661
blair-william--coil-14210	2017-12-31	2774175	-13726
teacher-retirement-system-of-texas-66768	2017-12-31	2742579	-624052
commonwealth-equity-services-llc-102781	2017-12-31	2712964	85517
fil-ltd-18709	2017-12-31	2712298	-206166
ursa-fund-management-llc-1019317	2017-12-31	2700500	-630700
gateway-investment-advisers-llc-76186	2017-12-31	2697451	-138069
public-sector-pension-investment-board-748435	2017-12-31	2634453	1646152
state-treasurer-state-of-michigan-40340	2017-12-31	2579391	15700
brandywine-global-investment-management-llc-27853	2017-12-31	2575365	-191827
calamos-advisors-llc-664235	2017-12-31	2573429	-185611
amp-capital-investors-ltd-900014	2017-12-31	2525654	-168736
british-columbia-investment-management-corp-403975	2017-12-31	2479006	85919
carmignac-gestion-902749	2017-12-31	2473735	2473735
guggenheim-capital-llc-632174	2017-12-31	2440868	366029
first-republic-investment-management-inc-762399	2017-12-31	2411356	-11025
glenmede-trust-co-na-27215	2017-12-31	2382869	-2734
dz-bank-ag-deutsche-zentral-genossenschafts-bank-frankfurt-1015816	2017-12-31	2381824	210237
diamond-hill-capital-management-inc-395031	2017-12-31	2320096	-30236
creative-planning-872574	2017-12-31	2306403	-128772
pggm-investments-819140	2017-12-31	2305200	202386
nomura-holdings-inc-96325	2017-12-31	2299870	1571199
acadian-asset-management-llc-66432	2017-12-31	2264478	-188913
caisse-de-depot-et-placement-du-quebec-68712	2017-12-31	2259294	-201200
cornerstone-capital-management-holdings-llc-805037	2017-12-31	2194002	-74992
greenlight-capital-inc-62659	2017-12-31	2192900	0
keybank-national-associationoh-65055	2017-12-31	2181399	-75535
nn-investment-partners-holdings-nv-994194	2017-12-31	2160988	-337054
cibc-world-markets-corp-62844	2017-12-31	2159514	687707
brown-advisory-inc-692390	2017-12-31	2124318	-31859
dekabank-deutsche-girozentrale-798012	2017-12-31	2119025	5000
king-luther-capital-management-corp-13438	2017-12-31	2070330	-4509
fifth-third-bancorp-7793	2017-12-31	2043955	-3630
parnassus-investments-ca-63063	2017-12-31	2013658	-1093
raymond-james-financial-services-advisors-inc-803618	2017-12-31	2000993	31856
mackenzie-financial-corp-11994	2017-12-31	1995595	1457017
westfield-capital-management-co-lp-375158	2017-12-31	1984127	-130671
1832-asset-management-lp-49833	2017-12-31	1979548	265488
bnp-paribas-arbitrage-sa-97610	2017-12-31	1942334	-6097122
lpl-financial-llc-748362	2017-12-31	1938768	157600
zurcher-kantonalbank-zurich-cantonalbank-715054	2017-12-31	1902270	37415
uss-investment-management-ltd-918480	2017-12-31	1901518	0
american-international-group-inc-1878	2017-12-31	1900187	52137
factory-mutual-insurance-co-64415	2018-03-31	1872800	-4000
mt-bank-corp-16919	2017-12-31	1866843	-13416
kbc-group-nv-757935	2017-12-31	1862350	192843
hightower-advisors-llc-804632	2017-12-31	1860020	-49292
baird-financial-group-inc-973119	2017-12-31	1859386	-11104
nisa-investment-advisors-llc-62797	2018-03-31	1802506	-25147
robeco-institutional-asset-management-bv-763002	2017-12-31	1787769	319411
santa-barbara-asset-management-llc-74449	2017-12-31	1704614	-12398
oregon-public-employees-retirement-fund-73439	2017-12-31	1694976	20288
sei-investments-co-10105	2017-12-31	1694703	160838
polar-capital-llp-785589	2017-12-31	1664248	137899
virginia-retirement-system-48036	2017-12-31	1642100	-40900
gulf-international-bank-uk-ltd-926573	2017-12-31	1634288	-14645
nuveen-asset-management-llc-855665	2017-12-31	1630571	-226106
lsv-asset-management-62699	2017-12-31	1619334	-17874
metlife-investment-advisors-llc-863936	2017-12-31	1588599	1588599
nomura-asset-management-co-ltd-62364	2017-12-31	1587548	130666
united-capital-financial-advisers-llc-804599	2017-12-31	1527199	-14440
clarivest-asset-management-llc-734118	2017-12-31	1519992	470061
bnp-paribas-asset-management-holding-sa-855543	2017-12-31	1507444	-204845
fort-washington-investment-advisors-inc-oh-63202	2017-12-31	1501636	425637
ci-investments-inc-97939	2017-12-31	1466022	-345454
ashmore-wealth-management-llc-899571	2017-12-31	1465044	-117052
natixis-612900	2017-12-31	1451566	-48197
fjarde-ap-fonden-fourth-swedish-national-pension-fund-881225	2017-12-31	1451551	217187
hl-financial-services-llc-773762	2017-12-31	1445940	-19610
dnb-asset-management-as-798242	2018-03-31	1406784	-185084
texas-permanent-school-fund-402971	2017-12-31	1401614	-29826
suntrust-banks-inc-1112	2017-12-31	1386065	-24323
lord-abbett--co-llc-21983	2017-12-31	1375861	-15127
ing-groep-nv-9340	2017-12-31	1360098	-280307
ladenburg-thalmann-financial-services-inc-1250	2017-12-31	1353555	85168
flinton-capital-management-llc-1015471	2017-12-31	1317092	-51442
arizona-state-retirement-system-892055	2017-12-31	1314651	25164
jensen-investment-management-inc-76054	2017-12-31	1292095	-441
harding-loevner-lp-65960	2017-12-31	1289125	49682
piedmont-investment-advisors-llc-605776	2017-12-31	1275958	-20399
first-trust-advisors-lp-86408	2017-12-31	1271103	54039
marathon-trading-investment-management-llc-957546	2017-12-31	1268153	634529
glenview-capital-management-llc-85711	2017-12-31	1261612	-1227920
sq-advisors-llc-874426	2017-12-31	1239748	4811
commerzbank-aktiengesellschaft-fi-95599	2017-12-31	1232053	-248641
bank-of-nova-scotia-80755	2017-12-31	1209559	77227
skandinaviska-enskilda-banken-ab-publ-873258	2017-12-31	1208015	-102062
everett-harris--co-ca-39152	2017-12-31	1207402	8545
mufg-securities-emea-plc-926399	2017-12-31	1191515	562282
moore-capital-management-lp-792208	2017-12-31	1180000	900000
cincinnati-financial-corp-11645	2017-12-31	1169000	0
northwestern-mutual-investment-management-company-llc-965711	2017-12-31	1159712	1669
hexavest-inc-734583	2017-12-31	1155713	-244652
cutler-group-lp-996232	2017-12-31	1143335	359141
boston-advisors-llc-62826	2017-12-31	1135288	-19235
wedgewood-partners-inc-80947	2017-12-31	1130891	-322177
hartford-investment-management-co-62312	2017-12-31	1116205	-60937
teachers-retirement-system-of-the-state-of-kentucky-63077	2017-12-31	1112928	-43300
investec-asset-management-ltd-762915	2017-12-31	1112116	-4471
levin-capital-strategies-lp-704884	2017-12-31	1099208	-29064
tyers-asset-management-llc-1015504	2017-12-31	1084664	-42364
burgundy-asset-management-ltd-664098	2017-12-31	1066694	3802
btim-corp-881864	2017-12-31	1028479	15481
thomaspartners-inc-664383	2017-12-31	1027250	5562
metropolitan-life-insurance-cony-13598	2017-12-31	1017184	-1658863
geneva-advisors-llc-622724	2017-06-30	1017017	-9218
commerce-bank-62841	2017-12-31	1010485	-4341
employees-retirement-system-of-texas-743472	2017-12-31	994700	-97800
scharf-investments-llc-804634	2017-12-31	970251	-50981
connor-clark--lunn-investment-management-ltd-934788	2017-12-31	967039	24775
xact-kapitalforvaltning-ab-1008381	2017-12-31	964325	56354
mitsubishi-ufj-kokusai-asset-management-co-ltd-809775	2017-12-31	959040	-10001
utah-retirement-systems-893037	2017-12-31	956495	-1600
