owner_code	date	held_shares	change
bryn-mawr-trust-co-49886	2017-12-31	269092	-327
alpine-woods-capital-investors-llc-403074	2017-12-31	268716	6
castleark-management-llc-73348	2017-12-31	268578	-26230
jupiter-asset-management-ltd-393621	2017-12-31	268088	-56737
glg-llc-699295	2017-12-31	263030	56100
florence-capital-advisors-llc-1015536	2017-12-31	262613	160
wesbanco-bank-inc-62572	2017-12-31	261732	-116949
todd-asset-management-llc-62715	2017-12-31	255843	-10345
bowen-hanes--co-inc-58620	2017-12-31	254234	-1060
park-national-corp-oh-8143	2018-03-31	253883	4198
kcm-investment-advisors-llc-75434	2017-12-31	250201	-3166
credit-agricole-s-a-380523	2017-12-31	249663	-3628226
neville-rodie--shaw-inc-62635	2017-12-31	248981	-8228
capital-one-national-association-9195	2017-12-31	248500	-5800
klingenstein-fields--co-llc-77852	2017-12-31	248432	145
sterling-capital-management-llc-682817	2017-12-31	247424	23329
putnam-fl-investment-management-co-86322	2017-12-31	247139	2710
silvercrest-asset-management-group-llc-406770	2017-12-31	245993	15050
wafra-investment-advisory-group-inc-ny-61897	2017-12-31	245988	24710
ashfield-capital-partners-llc-743848	2017-12-31	245666	-10091
crestwood-advisors-group-llc-771511	2017-12-31	245561	-418
stephens-inc-ar-63217	2017-12-31	245107	-443
impax-asset-management-llc-80893	2017-12-31	244875	-32500
cetera-advisors-llc-872626	2017-12-31	243624	4874
whittier-trust-co-of-nevada-inc-744204	2017-12-31	243242	-3168
financial-counselors-inc-69252	2017-12-31	243155	2753
cambridge-trust-co-376850	2017-12-31	243046	261
riverpark-advisors-llc-821705	2017-12-31	242627	-78822
american-financial-group-inc-42280	2017-12-31	242000	0
hpm-partners-llc-1015423	2017-12-31	240063	6361
alpha-cubed-investments-llc-929168	2017-12-31	239125	-3402
strategic-wealth-advisors-group-llc-945655	2017-12-31	238336	179432
philadelphia-trust-co-74942	2017-12-31	238133	6319
veritable-lp-646322	2017-12-31	237314	-38610
pictet-north-america-advisors-sa-927098	2017-12-31	236976	-12519
peapack-gladstone-financial-corp-3023	2017-12-31	236035	2178
artemis-investment-management-llp-938505	2017-12-31	234140	900
roosevelt-investment-group-inc-61221	2017-12-31	232441	-5985
renaissance-group-llc-61899	2017-12-31	231854	-24788
denver-investment-advisors-llc-23579	2017-12-31	231595	-2215
martin-currie-ltd-67369	2017-12-31	230715	-39839
boston-financial-mangement-llc-66554	2017-12-31	230074	1084
richard-bernstein-advisors-llc-873543	2017-12-31	230051	38485
nippon-life-global-investors-americas-inc-63733	2017-12-31	229743	-10000
mogy-joel-r-investment-counsel-inc-80431	2017-12-31	228638	-306
bridgeway-capital-management-inc-75737	2017-12-31	227675	-21665
wealthfront-inc-858853	2017-12-31	226498	6394
cullinan-associates-inc-114468	2017-12-31	226347	-21965
zacks-investment-management-63239	2017-12-31	225797	2665
cigna-investments-inc-new-62965	2017-12-31	225605	-9948
nichols--pratt-advisers-llp-ma-89198	2017-12-31	224207	1484
ami-asset-management-corp-716783	2017-12-31	223477	-9392
finemark-national-bank--trust-874648	2017-12-31	223363	-1947
nan-shan-life-insurance-co-ltd-1045217	2017-12-31	223005	223005
frontier-investment-mgmt-co-663429	2017-12-31	222960	-28506
empire-life-investments-inc-1015848	2017-12-31	222654	14840
barrett-asset-management-llc-861331	2017-12-31	221523	-4346
suffolk-capital-management-llc-64973	2017-12-31	220456	102091
mariner-wealth-advisors-llc-718911	2017-12-31	220179	21927
arvest-bank-trust-division-950029	2017-12-31	220153	-6526
st-germain-d-j-co-inc-92117	2017-12-31	219671	-2946
martingale-asset-management-l-p-62577	2017-12-31	218783	-6419
dock-street-asset-management-inc-110086	2017-12-31	218766	6174
mizuho-securities-usa-llc-848106	2017-12-31	218706	203399
regentatlantic-capital-llc-397160	2017-12-31	216675	9112
hardman-johnston-global-advisors-llc-63868	2017-12-31	212939	-43145
davidson-investment-advisors-89145	2017-12-31	212081	532
stratos-wealth-partners-ltd-939610	2017-12-31	210371	5506
picton-mahoney-asset-management-906666	2017-12-31	209800	209800
migdal-insurance--financial-holdings-ltd-775196	2017-12-31	209716	-533
hoylecohen-llc-1045852	2017-12-31	209714	209714
eagle-global-advisors-llc-83589	2017-12-31	209381	-3206
amica-pension-fund-board-of-trustees-64320	2017-12-31	209202	0
raymond-james-trust-na-68942	2018-03-31	209104	-9457
amica-mutual-insurance-co-64314	2017-12-31	208701	-46812
first-american-bank-664599	2017-12-31	208433	-182
gw-henssler--associates-ltd-226068	2017-12-31	208413	-3144
dearborn-partners-llc-391118	2017-12-31	207886	-5925
golub-group-llc-622209	2017-12-31	207733	-31651
smith-chas-p--associates-pa-cpas-63023	2017-12-31	207211	-1354
kames-capital-plc-883055	2017-12-31	206977	-7608
glenview-trust-co-1015249	2017-12-31	206489	-1155
liberty-mutual-group-asset-management-inc-867863	2017-12-31	205866	-10342
sequoia-financial-advisors-llc-927096	2017-12-31	205464	7571
bailard-inc-63751	2017-12-31	205172	31614
bank-of-the-west-63242	2017-12-31	205098	-4598
highland-capital-management-llc-62148	2017-12-31	204971	-1744
donaldson-capital-management-llc-908983	2017-12-31	204070	3505
edgemoor-investment-advisors-inc-663470	2017-12-31	202605	487
citizens-financial-group-incri-62981	2017-12-31	200818	806
decatur-capital-management-inc-841792	2017-12-31	199923	-31406
gillespie-robinson--grimm-inc-61527	2017-12-31	199659	555
levy-harkins--co-inc-84939	2017-12-31	198454	29252
wade-g-w--inc-83322	2017-12-31	198206	4024
covington-capital-management-672271	2017-12-31	197598	-3133
forsta-ap-fonden-986838	2017-12-31	196387	-29800
lumina-fund-management-llc-847845	2017-12-31	196100	0
rothschild-investment-corp-il-63111	2017-12-31	196032	-4965
ns-partners-ltd-979590	2017-12-31	195713	4442
ars-investment-partners-llc-62733	2017-12-31	195331	-26865
mckinley-capital-management-llc-delaware-61764	2017-12-31	195329	-45563
gotham-asset-management-llc-848155	2017-12-31	193922	-78173
voloridge-investment-management-llc-926740	2017-12-31	192698	192698
randolph-co-inc-819944	2017-12-31	192079	684
beach-investment-counsel-incpa-61393	2017-12-31	191181	37732
madison-investment-holdings-inc-85426	2017-12-31	191143	-4664
meritage-portfolio-management-62512	2017-12-31	190406	17430
eastern-bank-82527	2018-03-31	189562	-35550
spears-abacus-advisors-llc-770846	2017-12-31	188283	-4676
hcr-wealth-advisors-1015692	2017-12-31	187200	2538
reynders-mcveigh-capital-management-llc-820830	2017-12-31	186903	-12163
guardian-capital-lp-401502	2017-12-31	186064	-2497
private-wealth-partners-llc-682756	2017-12-31	185409	3240
riverhead-capital-management-llc-899670	2017-12-31	185256	8684
matthew-25-management-corp-698591	2017-12-31	185000	0
sumitomo-life-insurance-co-65696	2017-12-31	184024	-7685
wms-partners-llc-820688	2017-12-31	182996	-107
massmutual-trust-co-fsbadv-189005	2017-12-31	181410	1119
assetmark-inc-690971	2017-12-31	181291	9708
capital-investment-counsel-inc-762385	2017-12-31	181106	-2050
redwood-investments-llc-734829	2017-12-31	180352	24869
kiwi-wealth-investments-limited-partnership-887610	2017-12-31	179282	3846
meiji-yasuda-asset-management-co-ltd-828621	2017-12-31	177280	-5276
capital-advisors-incok-66638	2017-12-31	177264	-1547
old-national-bancorp-in-12029	2017-12-31	177093	-31792
boston-common-asset-management-llc-754501	2017-12-31	176915	4987
lodestar-investment-counsel-llcil-61624	2017-12-31	176850	-1726
mai-capital-management-63897	2017-12-31	176675	1666
arrowgrass-capital-partners-llp-847997	2017-09-30	175865	138365
zwj-investment-counsel-inc-63156	2017-12-31	175426	-6800
kelly-lawrence-w--associates-incca-62655	2017-12-31	175321	-6263
gamble-jones-investment-counsel-63151	2017-12-31	173896	-1330
brown-brothers-harriman--co-37356	2017-12-31	173354	1309
bristol-advisors-llc-1015516	2017-12-31	173000	58800
ingalls--snyder-llc-47362	2017-12-31	172051	172051
lafleur--godfrey-llc-735007	2017-12-31	171641	-3526
stone-ridge-asset-management-llc-957932	2017-12-31	171171	171171
ep-wealth-advisors-llc-874344	2017-12-31	170724	3475
wittenberg-investment-management-inc-1015312	2017-12-31	170487	-2864
van-cleef-asset-managementinc-821102	2017-12-31	170322	1439
hap-trading-llc-822487	2017-12-31	169870	169870
birch-hill-investment-advisors-llc-769578	2017-12-31	169412	-10553
palisade-capital-management-llcnj-80069	2017-12-31	168720	301
inverness-counsel-llc-ny-67252	2017-12-31	168139	14252
cookson-peirce--co-inc-87396	2017-12-31	167853	350
colonial-trust-advisors-899798	2017-12-31	167359	31950
oppenheimer-asset-management-inc-620565	2017-12-31	167295	0
interocean-capital-llc-874282	2017-12-31	166709	310
stock-yards-bank--trust-co-27185	2018-03-31	166562	5101
badgley-phelps--bell-inc-64498	2017-12-31	166407	-1359
edgewood-management-llc-63388	2017-12-31	166229	-3113
franklin-street-advisors-inc-nc-63421	2018-03-31	166212	-11165
murphy-capital-management-inc-62097	2017-12-31	165940	-5409
freestone-capital-holdings-llc-810817	2017-12-31	165823	-7019
aviance-capital-partners-llc-874682	2017-12-31	164157	-1717
conning-inc-9122	2017-12-31	163943	-4950
clough-capital-partners-l-p-621542	2017-12-31	163910	-187300
baskin-financial-services-inc-847843	2017-12-31	163522	-2357
sg-americas-securities-llc-663181	2017-12-31	162959	-382904
bluefin-trading-llc-899032	2017-12-31	162681	-198075
adell-harriman--carpenter-inc-83718	2017-12-31	162414	-4628
baldwin-brothers-incma-62414	2017-12-31	162140	-17070
captrust-financial-advisors-847057	2017-12-31	161783	110388
qci-asset-management-incny-62760	2017-12-31	161102	1187
howard-capital-management-63547	2017-12-31	160675	-1560
nexus-investment-management-inc-815390	2018-03-31	160541	-31755
trust-co-of-vermont-96250	2017-12-31	160251	35
mycio-wealth-partners-llc-717819	2017-12-31	159859	-5380
banco-de-sabadell-sa-1046025	2017-12-31	159246	159246
wedbush-securities-inc-87395	2017-12-31	158507	6489
lvm-capital-management-ltdmi-62684	2017-12-31	158156	-2084
carnegie-capital-asset-management-llc-848221	2017-12-31	157637	37338
halsey-associates-incct-64911	2017-12-31	157147	887
wealthstreet-investment-advisors-llc-1044818	2017-12-31	157079	-4560
columbia-partners-l-l-c-investment-management-62945	2017-12-31	156754	-10942
meyer-handelman-co-63119	2017-12-31	156392	-422
anchor-capital-advisors-llc-62593	2017-12-31	156009	-292
wharton-business-group-llc-848264	2017-12-31	155897	-2397
deroy--devereaux-private-investment-counsel-inc-621828	2017-12-31	155755	-839
boston-family-office-llc-66949	2017-12-31	155466	-4095
courier-capital-llc-82577	2017-12-31	155399	2352
weiss-multi-strategy-advisers-llc-735012	2017-12-31	155237	145237
farmers--merchants-investments-inc-590739	2017-12-31	154942	-934
columbus-hill-capital-management-lp-734844	2017-12-31	154800	154800
centre-asset-management-llc-872774	2017-12-31	154758	1410
tcw-group-inc-21955	2017-12-31	154494	-1055
twin-tree-management-lp-913364	2017-12-31	154402	121380
campbell-newman-asset-management-inc-62422	2017-12-31	154045	-4921
bedrijfstakpensioenfonds-voor-de-media-pno-618173	2017-12-31	154000	-69533
cincinnati-insurance-co-622441	2017-12-31	154000	0
hallmark-capital-management-inc-63464	2017-12-31	153937	-6485
sigma-planning-corp-818033	2017-12-31	153726	-11567
azimuth-capital-management-llc-734524	2017-12-31	153602	-3711
community-trust--investment-co-63558	2017-12-31	153236	-4404
penn-davis-mcfarland-inc-74458	2017-12-31	152324	-1780
birinyi-associates-inc-63225	2017-12-31	152166	225
municipal-employees-retirement-system-of-michigan-919780	2017-12-31	152130	-790
sandy-spring-bank-799210	2017-12-31	152052	-1867
cornerstone-advisors-inc-98072	2017-12-31	152000	48000
maryland-capital-management-703180	2017-12-31	151887	-4001
wetherby-asset-management-inc-620848	2017-12-31	149278	-8199
ledyard-national-bank-662521	2017-12-31	148875	-3182
ensemble-capital-management-llc-733091	2017-12-31	148452	-16555
chartwell-investment-partners-llc-942158	2017-12-31	148394	-40552
girard-partners-ltd-102182	2017-12-31	148391	-2017
nj-state-employees-deferred-compensation-plan-820825	2017-12-31	147500	-10000
lee-danner--bass-inc-63629	2017-12-31	147413	-471
macguire-cheswick--tuttle-investment-counsel-llc-785915	2017-12-31	147138	-3054
12th-street-asset-management-company-llc-958069	2017-12-31	146096	7735
muhlenkamp--co-inc-82523	2017-12-31	145822	-1579
ifm-investors-pty-ltd-1015869	2017-12-31	144741	-1308
brown-advisory-securities-llc-735046	2017-12-31	144452	6877
whale-rock-capital-management-llc-732563	2017-12-31	143840	143840
weatherly-asset-management-l-p-198333	2017-12-31	143145	3323
appleton-partners-incma-63552	2018-03-31	142795	-2508
norris-perne--french-llpmi-66061	2017-12-31	142551	-855
torray-llc-40893	2017-12-31	142084	-5807
marco-investment-management-llc-63194	2017-12-31	141977	-3010
thompson-siegel--walmsley-llc-47701	2017-12-31	141855	523
capwealth-advisors-llc-872908	2017-12-31	141649	675
lincoln-national-corp-10422	2017-12-31	141541	73666
fulton-financial-advisors-n-a-77717	2017-12-31	141106	1120
carillon-tower-advisers-inc-1031149	2017-12-31	141044	141044
balyasny-asset-management-llc-397194	2017-12-31	141018	-1068987
telemus-capital-llc-919867	2017-12-31	140935	57270
oak-associates-ltd-oh-36803	2017-12-31	140889	-1750
tower-bridge-advisors-621934	2017-12-31	140485	-278
flossbach-von-storch-ag-937713	2017-12-31	140295	5815
de-burlo-group-inc-89340	2017-12-31	140138	6447
pelorus-jack-capital-lp-1049776	2017-12-31	140016	140016
roffman-miller-associates-inc-pa-62665	2017-12-31	139993	731
churchill-management-corp-67972	2017-12-31	139503	108741
south-state-corp-4024	2017-12-31	138574	12613
independent-advisor-alliance-1015794	2017-12-31	138386	5624
bender-robert--associates-63652	2017-12-31	137715	-909
bbva-compass-bancshares-inc-754567	2017-12-31	137656	-3674
janney-capital-management-llc-899981	2017-12-31	137131	-2834
meeder-asset-management-inc-62686	2017-12-31	137007	4402
affinity-investment-advisors-llc-855236	2017-12-31	136869	-4769
calamos-wealth-management-llc-797724	2017-12-31	136536	-2780
stoneridge-investment-partners-llc-76167	2017-12-31	136499	-36194
kentucky-retirement-systems-insurance-trust-fund-920425	2017-12-31	136350	-1516
kovack-advisors-inc-1044227	2017-12-31	136334	136334
taurus-asset-management-llc-664708	2017-12-31	136192	538
riverpark-capital-management-llc-940575	2017-12-31	136111	-38939
cleararc-capital-inc-98281	2017-12-31	135723	-1314
acg-wealth-899538	2018-03-31	135573	2176
first-national-trust-co-619983	2017-12-31	135291	-2273
middleton--co-incma-62677	2017-12-31	135174	7161
bainco-international-investors-63073	2018-03-31	135152	301
ibm-retirement-fund-65043	2017-12-31	134229	4699
catawba-capital-management-va-66833	2018-03-31	134137	-2235
biondo-investment-advisors-llc-798664	2017-12-31	133839	2740
martin-investment-management-llc-847215	2017-12-31	133529	0
ao-asset-management-lp-957021	2017-12-31	133300	-22700
granite-investment-partners-llc-874552	2017-12-31	132396	-3533
baltimore-washington-financial-advisors-inc-924506	2017-12-31	132103	64080
dowling--yahnke-llc-83999	2017-12-31	131833	-1833
chilton-capital-management-llc-61455	2017-12-31	131704	-4950
lowe-brockenbrough--co-inc-28858	2017-12-31	128992	-510
kimelman--baird-llc-665076	2017-12-31	128840	681
wealthplan-partners-llc-964378	2017-12-31	128770	444
greenleaf-trust-98783	2017-12-31	128482	786
level-four-advisory-services-llc-1015633	2017-12-31	128270	1230
laurel-wealth-advisors-inc-989181	2017-12-31	127838	5882
evanson-asset-management-llc-957114	2018-03-31	127807	-1645
oshaughnessy-asset-management-llc-770041	2017-12-31	127161	-4146
hemenway-trust-co-llc-848111	2017-12-31	126072	2726
carret-asset-management-llc-80990	2017-12-31	126038	-166
coronation-fund-managers-ltd-1001161	2017-12-31	125475	-30857
gabalex-capital-management-llc-797354	2017-12-31	125000	0
meiji-yasuda-life-insurance-co-88424	2017-12-31	124898	-3414
horan-capital-management-617137	2018-03-31	124832	-7
salient-trust-co-lta-66979	2017-12-31	124495	7170
traynor-capital-management-inc-987027	2017-12-31	124457	1952
osborne-partners-capital-management-llc-63406	2017-12-31	123071	-1372
baillie-gifford--co-64690	2017-12-31	123051	5028
seacrest-wealth-management-llc-1044412	2017-12-31	122906	122906
btr-capital-management-inc-63969	2017-12-31	122828	-1384
stonebridge-capital-advisors-llc-928712	2017-12-31	122740	-3163
yhb-investment-advisors-inc-809793	2017-12-31	122724	-2203
sabal-trust-co-673605	2017-12-31	122619	-6035
ctc-llc-789445	2017-12-31	122042	122042
grand-jean-capital-management-inc-664223	2017-12-31	121914	-451
edmond-de-rothschild-holding-sa-972580	2017-12-31	121212	1141
advisor-partners-llc-797926	2017-12-31	121055	6174
ipg-investment-advisors-llc-931553	2017-12-31	121048	-16342
vigilant-capital-management-llc-769334	2018-03-31	120997	4152
davidson--garrard-inc-62351	2017-09-30	120884	-3286
chesley-taft--associates-llc-98046	2018-03-31	120820	145
ark-investment-management-llc-909492	2017-12-31	120157	63393
north-american-management-corp-64046	2017-12-31	120135	-710
parallax-volatility-advisers-lp-855724	2017-12-31	119960	-1035403
first-midwest-bank-trust-division-62542	2017-12-31	119488	-16277
nbt-bank-n-a-ny-62522	2017-12-31	119225	-8166
tctc-holdings-llc-821605	2017-12-31	118797	-2485
national-asset-management-inc-817513	2017-12-31	118728	-647
dubuque-bank--trust-co-58836	2017-12-31	118469	1891
atwood--palmer-inc-66481	2017-12-31	118147	913
wilbanks-smith--thomas-asset-management-llc-63191	2017-12-31	117783	-1565
meitav-dash-investments-ltd-744452	2017-12-31	116840	116840
north-star-asset-management-inc-68744	2017-12-31	116534	2772
greystone-managed-investments-inc-821111	2017-12-31	116080	-1863
agf-investments-inc-97719	2017-12-31	115785	0
everence-capital-management-inc-63314	2017-12-31	115780	9443
east-coast-asset-management-llc-909845	2017-12-31	115470	-6088
somerville-kurt-f-396758	2017-12-31	115432	-6829
bowling-portfolio-management-llc-671635	2017-12-31	114522	-584
dillon--associates-inc-61622	2017-12-31	114358	-1448
trillium-asset-management-llc-66843	2017-12-31	114193	11958
beacon-investment-advisory-services-inc-979963	2017-12-31	114012	-13693
premier-asset-management-llc-720374	2017-12-31	113964	-7510
bs-pension-fund-trustee-ltd-acting-for-the-british-steel-p-960300	2017-12-31	113653	-3600
summit-trail-advisors-llc-1045723	2017-12-31	113570	113570
callahan-advisors-llc-741331	2017-12-31	113454	-5167
patriot-wealth-management-inc-734961	2017-12-31	113150	12533
markel-corp-68045	2017-12-31	113100	0
olstein-capital-management-lp-73003	2017-12-31	113000	0
grimes--company-inc-696147	2017-12-31	112857	4669
chickasaw-capital-management-llc-615491	2017-12-31	112777	-5059
pictet--cie-europe-sa-80647	2017-12-31	112680	-9175
hartline-investment-corp-63563	2017-12-31	112371	639
bedell-frazier-investment-counseling-llc-734642	2017-12-31	112168	-620
violich-capital-management-inc-673999	2017-12-31	112082	-200
papp-l-roy--associates-63055	2017-12-31	111900	-565
main-street-research-llc-848364	2017-12-31	111648	1507
bank-of-hawaii-63612	2017-12-31	111616	-4070
bath-savings-trust-co-732568	2018-03-31	110133	-3987
sva-plumb-wealth-management-llc-926922	2017-12-31	110072	-1687
burns-j-w--co-incny-65129	2018-03-31	109332	-1206
advisory-services-network-llc-903936	2017-12-31	109313	4904
catalyst-capital-advisors-llc-881700	2017-12-31	109208	-1129
mark-asset-management-corp-62688	2017-12-31	108964	-23441
first-interstate-bank-80884	2017-12-31	108771	-2133
van-hulzen-asset-management-llc-927406	2017-12-31	108522	2010
community-bank-na-956942	2017-12-31	108326	5032
wg-shaheen--associates-dba-whitney--co-906645	2017-12-31	108048	-2769
stillwater-capital-advisors-llc-821503	2017-12-31	107664	355
howe--rusling-inc-63268	2017-12-31	107522	-1001
atria-investments-llc-876915	2017-12-31	107301	4427
quest-investment-management-llc-63422	2017-12-31	106420	-34266
grassi-investment-management-938863	2018-03-31	106256	1728
crawford-investment-counsel-inc-66518	2017-12-31	106139	-650
herndon-capital-management-llc-667299	2017-06-30	106120	-53751
tnb-financial-893049	2017-12-31	105555	-13359
compton-capital-management-inc-ri-65009	2017-12-31	105264	-1247
first-long-island-investors-llc-826840	2017-12-31	104892	462
alerus-financial--na-51663	2017-12-31	104258	4204
motley-fool-wealth-management-llc-957703	2017-12-31	104258	-665
zeke-capital-advisors-llc-809565	2017-12-31	104245	6302
jacobs--coca-62019	2017-12-31	104031	-4682
general-american-investors-co-inc-8145	2017-12-31	104000	0
carroll-financial-associates-inc-898658	2018-03-31	103822	-204
connors-investor-services-inc-61813	2017-12-31	103526	2700
cypress-asset-management-inctx-67792	2017-12-31	103348	-5227
osborn-williams--donohoe-llc-913664	2017-12-31	102936	-1384
amf-pensionsforsakring-ab-902209	2017-12-31	102816	-4738
jones-financial-companies-lllp-17227	2017-12-31	102602	-6431
wendell-david-associates-inc-62922	2018-03-31	102412	-10100
advisors-capital-management-llc-692627	2017-12-31	102257	9587
vision-capital-management-inc-769621	2017-12-31	101733	-1529
hartwell-j-m-limited-partnership-91531	2017-12-31	101550	19000
avenir-corp-38826	2017-12-31	101162	-21270
harvey-capital-management-inc-82874	2017-12-31	100856	-392
boys-arnold--co-inc-62146	2017-12-31	100615	-1365
mastrapasqua-asset-management-inc-62721	2017-12-31	99837	-1331
granite-investment-advisors-llc-805230	2017-12-31	99517	5080
leavell-investment-management-inc-61761	2017-12-31	99311	-1044
private-asset-management-inc-61504	2018-03-31	99092	-4102
frontier-wealth-management-llc-960321	2017-12-31	99080	-7499
aureus-asset-management-llc-770780	2017-12-31	98836	3183
north-star-investment-management-corp-689340	2017-12-31	98777	-835
paradigm-financial-advisors-llc-926569	2017-12-31	98736	234
marble-harbor-investment-counsel-llc-732990	2017-12-31	98707	-50
vantage-investment-partners-llc-871576	2017-12-31	98539	-88630
brinker-capital-inc-840970	2017-12-31	98332	-4064
choate-investment-advisors-745308	2017-12-31	97937	-1968
winslow-asset-management-inc-635234	2017-12-31	97934	67
pillar-pacific-capital-management-llc-71912	2017-12-31	97378	-198
capco-asset-management-llc-1015693	2017-12-31	97204	2175
ccm-investment-advisers-llc-69338	2017-12-31	97037	-3639
trust-co-of-virginia-va-88867	2017-12-31	96539	5133
estabrook-capital-management-691232	2017-12-31	96418	-2873
reilly-financial-advisors-llc-734338	2017-12-31	96415	-5932
lionstone-capital-management-llc-906465	2017-12-31	96320	0
essex-financial-services-inc-664068	2017-12-31	96066	-606
moors--cabot-inc-934378	2017-12-31	95494	11899
first-foundation-advisors-76459	2017-12-31	95229	-20358
pinnacle-financial-partners-inc-76521	2017-12-31	95056	7508
ally-financial-inc-12134	2017-12-31	95000	55000
sompo-japan-nipponkoa-asset-management-coltd-1037340	2017-12-31	94822	15710
tci-wealth-advisors-inc-915435	2017-12-31	94517	-857
foster--motley-inc-98058	2017-12-31	94510	1113
archon-partners-llc-797790	2017-12-31	94500	0
barometer-capital-management-inc-927362	2017-12-31	94494	-34272
sco-inc-66804	2017-12-31	94356	136
goelzer-investment-management-inc-881978	2017-12-31	94165	-6252
bronfman-el-rothschild-lp-986584	2017-12-31	94051	1612
accident-compensation-corp-985178	2017-12-31	94047	-7000
valeo-financial-advisors-llc-1037516	2017-12-31	93797	17131
first-citizens-bank--trust-co-66431	2018-03-31	93689	1352
virtus-investment-advisers-inc-108396	2017-12-31	93667	-8516
willis-investment-counsel-708680	2017-12-31	93564	-536
cito-capital-group-llc-1037336	2017-12-31	93515	0
beaumont-financial-partners-llc-699419	2017-12-31	93445	307
joel-isaacson--co-llc-927070	2017-12-31	93376	-1752
kanawha-capital-management-llc-96912	2017-12-31	93348	-2957
green-square-capital-llc-97733	2017-12-31	93134	-3443
alexandria-capital-llc-904317	2017-12-31	93100	14942
clear-harbor-asset-management-llc-847576	2017-12-31	93011	-2690
webster-bank-n-a-72285	2017-12-31	92881	-3874
jlb--associates-inc-62144	2017-12-31	92614	8995
chemical-financial-corp-3318	2017-12-31	92548	299
cobiz-wealth-llc-671873	2017-12-31	92509	-1036
hendershot-investments-inc-874326	2017-12-31	92473	969
columbia-asset-management-926952	2017-12-31	92420	2
cornerstone-wealth-management-llc-994632	2017-12-31	92289	-116
voya-financial-advisors-inc-767882	2017-12-31	92230	-2536
south-street-advisors-llc-744235	2017-12-31	92046	-2380
mr-capital-management-inc-69300	2017-12-31	91935	1176
ifc-holdings-incorporatedfl-832016	2017-12-31	91667	-8511
united-bank-630660	2017-12-31	91255	50386
bridgecreek-investment-management-llc-717744	2017-12-31	91184	2900
century-capital-management-trust-67032	2017-06-30	91015	0
formidable-asset-management-llc-921134	2017-12-31	90593	164
spot-trading-llc-101292	2017-09-30	90323	58463
etrade-capital-management-llc-847789	2017-12-31	90123	6333
smith-salley--associates-820370	2017-12-31	90108	252
blue-fin-capital-inc-926737	2017-12-31	90011	-2066
forte-capital-llc-adv-260142	2017-12-31	89996	-2474
timessquare-capital-management-llc-663886	2017-12-31	89960	-4462
adviser-investments-llc-1015322	2017-12-31	89949	-1056
edge-wealth-management-llc-898258	2018-03-31	89596	-11216
montag-a--associates-inc-63005	2017-12-31	89567	1308
parallel-advisors-llc-1015503	2017-12-31	89422	-444
jefferies-group-llc-61579	2017-12-31	89389	-29293
highpoint-advisor-group-llc-958673	2017-12-31	89303	2388
shikiar-asset-management-inc-62822	2017-12-31	89278	-4480
albion-financial-group-ut-63454	2017-12-31	89230	-1479
riverpoint-capital-management-llc-897838	2017-12-31	89051	41795
paloma-partners-management-co-72620	2017-12-31	88778	5166
vantage-investment-advisors-llc-927155	2017-12-31	88499	1777
wellington-shields-capital-management-llc-842644	2017-12-31	88337	1856
mainstreet-investment-advisors-llc-1045869	2017-12-31	88204	88204
ftb-advisors-inc-920478	2017-12-31	87808	536
james-investment-research-inc-61732	2017-12-31	87725	6248
trust-department-mb-financial-bank-n-a-61584	2018-03-31	87232	-12810
doheny-asset-management-ca-62504	2017-12-31	87224	-2990
close-asset-management-ltd-1037443	2017-12-31	87204	-406
afam-capital-inc-98516	2017-12-31	87199	-364
stewart--patten-co-llc-87010	2017-12-31	86816	-2512
private-wealth-advisors-inc-805622	2017-12-31	86353	-2742
financial-advocates-investment-management-1045854	2017-12-31	86334	86334
cedar-hill-associates-llc-777856	2017-12-31	86083	-6158
washington-trust-bank-64054	2018-03-31	85940	1923
winton-group-ltd-941185	2017-12-31	85888	20091
hgk-asset-management-inc-62195	2017-12-31	85642	-10244
lmr-partners-llp-933364	2017-12-31	85633	85633
wilsey-asset-management-inc-925910	2017-12-31	85594	2257
arrow-financial-corp-2236	2017-12-31	85561	-5632
cobblestone-capital-advisors-llc-ny-62916	2017-12-31	85368	3157
moody-lynn--lieberson-llc-63258	2017-12-31	85368	-17025
lyons-wealth-management-llc-860715	2017-12-31	85341	-19959
simplex-trading-llc-850999	2017-12-31	85094	-288294
arrowmark-colorado-holdings-llc-821479	2017-12-31	84728	-19000
charter-trust-co-62221	2018-03-31	84321	13995
greatmark-investment-partners-inc-874243	2017-12-31	84295	-3910
family-management-corp-874650	2017-12-31	84082	-17719
nbw-capital-llc-848079	2017-12-31	83989	-9110
palisade-asset-management-llc-777720	2017-12-31	83753	-3046
griffin-asset-management-inc-61724	2017-12-31	83506	-5178
johnson-financial-group-inc-815956	2017-12-31	83284	-5154
train-babcock-advisors-llc-14238	2017-12-31	83211	-6683
hbk-sorce-advisory-llc-734464	2017-12-31	82765	17220
augustine-asset-management-inc-72177	2017-12-31	82630	3217
culbertson-a-n--co-inc-619463	2017-12-31	82307	565
perpetual-ltd-970031	2017-12-31	81955	22200
mission-wealth-management-lp-972778	2017-12-31	81556	865
fuller--thaler-asset-management-inc-62350	2017-12-31	81488	-7807
lucia-wealth-services-llc-1045373	2017-12-31	81394	81394
hyman-charles-d-84096	2017-12-31	81370	3115
addenda-capital-inc-899651	2018-03-31	81285	-2423
capital-investment-advisors-llc-926744	2017-12-31	80964	773
